region,kjønn,alder,år,statistikkvariabel,"07459: Befolkning, etter region, kjønn, alder, år og statistikkvariabel"
3112 Råde,2 Kvinner,F85-89 85-89 år,2025,Personer,78
3112 Råde,2 Kvinner,F90-94 90-94 år,2025,Personer,31
3112 Råde,2 Kvinner,F95-99 95-99 år,2025,Personer,18
3112 Råde,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,3
3112 Råde,1 Menn,F00-04 0-4 år,2025,Personer,188
3112 Råde,1 Menn,F05-09 5-9 år,2025,Personer,234
3112 Råde,1 Menn,F10-14 10-14 år,2025,Personer,246
3112 Råde,1 Menn,F15-19 15-19 år,2025,Personer,257
3112 Råde,1 Menn,F20-24 20-24 år,2025,Personer,216
3112 Råde,1 Menn,F25-29 25-29 år,2025,Personer,224
3112 Råde,1 Menn,F30-34 30-34 år,2025,Personer,246
3112 Råde,1 Menn,F35-39 35-39 år,2025,Personer,264
3112 Råde,1 Menn,F40-44 40-44 år,2025,Personer,249
3112 Råde,1 Menn,F45-49 45-49 år,2025,Personer,280
3112 Råde,1 Menn,F50-54 50-54 år,2025,Personer,299
3112 Råde,1 Menn,F55-59 55-59 år,2025,Personer,272
3112 Råde,1 Menn,F60-64 60-64 år,2025,Personer,254
3112 Råde,1 Menn,F65-69 65-69 år,2025,Personer,243
3112 Råde,1 Menn,F70-74 70-74 år,2025,Personer,208
3112 Råde,1 Menn,F75-79 75-79 år,2025,Personer,191
3112 Råde,1 Menn,F80-84 80-84 år,2025,Personer,106
3112 Råde,1 Menn,F85-89 85-89 år,2025,Personer,62
3112 Råde,1 Menn,F90-94 90-94 år,2025,Personer,24
3112 Råde,1 Menn,F95-99 95-99 år,2025,Personer,6
3112 Råde,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,0
3114 Våler (Østfold),2 Kvinner,F00-04 0-4 år,2025,Personer,181
3114 Våler (Østfold),2 Kvinner,F05-09 5-9 år,2025,Personer,200
3114 Våler (Østfold),2 Kvinner,F10-14 10-14 år,2025,Personer,207
3114 Våler (Østfold),2 Kvinner,F15-19 15-19 år,2025,Personer,192
3114 Våler (Østfold),2 Kvinner,F20-24 20-24 år,2025,Personer,115
3114 Våler (Østfold),2 Kvinner,F25-29 25-29 år,2025,Personer,143
3114 Våler (Østfold),2 Kvinner,F30-34 30-34 år,2025,Personer,202
3114 Våler (Østfold),2 Kvinner,F35-39 35-39 år,2025,Personer,278
3114 Våler (Østfold),2 Kvinner,F40-44 40-44 år,2025,Personer,240
3114 Våler (Østfold),2 Kvinner,F45-49 45-49 år,2025,Personer,194
3114 Våler (Østfold),2 Kvinner,F50-54 50-54 år,2025,Personer,211
3114 Våler (Østfold),2 Kvinner,F55-59 55-59 år,2025,Personer,199
3114 Våler (Østfold),2 Kvinner,F60-64 60-64 år,2025,Personer,165
3114 Våler (Østfold),2 Kvinner,F65-69 65-69 år,2025,Personer,141
3114 Våler (Østfold),2 Kvinner,F70-74 70-74 år,2025,Personer,119
3114 Våler (Østfold),2 Kvinner,F75-79 75-79 år,2025,Personer,108
3114 Våler (Østfold),2 Kvinner,F80-84 80-84 år,2025,Personer,70
3114 Våler (Østfold),2 Kvinner,F85-89 85-89 år,2025,Personer,30
3114 Våler (Østfold),2 Kvinner,F90-94 90-94 år,2025,Personer,11
3114 Våler (Østfold),2 Kvinner,F95-99 95-99 år,2025,Personer,3
3114 Våler (Østfold),2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,0
3114 Våler (Østfold),1 Menn,F00-04 0-4 år,2025,Personer,182
3114 Våler (Østfold),1 Menn,F05-09 5-9 år,2025,Personer,229
3114 Våler (Østfold),1 Menn,F10-14 10-14 år,2025,Personer,239
3114 Våler (Østfold),1 Menn,F15-19 15-19 år,2025,Personer,194
3114 Våler (Østfold),1 Menn,F20-24 20-24 år,2025,Personer,127
3114 Våler (Østfold),1 Menn,F25-29 25-29 år,2025,Personer,154
3114 Våler (Østfold),1 Menn,F30-34 30-34 år,2025,Personer,185
3114 Våler (Østfold),1 Menn,F35-39 35-39 år,2025,Personer,247
3114 Våler (Østfold),1 Menn,F40-44 40-44 år,2025,Personer,249
3114 Våler (Østfold),1 Menn,F45-49 45-49 år,2025,Personer,232
3114 Våler (Østfold),1 Menn,F50-54 50-54 år,2025,Personer,220
3114 Våler (Østfold),1 Menn,F55-59 55-59 år,2025,Personer,230
3114 Våler (Østfold),1 Menn,F60-64 60-64 år,2025,Personer,156
3114 Våler (Østfold),1 Menn,F65-69 65-69 år,2025,Personer,173
3114 Våler (Østfold),1 Menn,F70-74 70-74 år,2025,Personer,134
3114 Våler (Østfold),1 Menn,F75-79 75-79 år,2025,Personer,99
3114 Våler (Østfold),1 Menn,F80-84 80-84 år,2025,Personer,69
3114 Våler (Østfold),1 Menn,F85-89 85-89 år,2025,Personer,26
3114 Våler (Østfold),1 Menn,F90-94 90-94 år,2025,Personer,8
3114 Våler (Østfold),1 Menn,F95-99 95-99 år,2025,Personer,0
3114 Våler (Østfold),1 Menn,F100G5+ 100 år eller eldre,2025,Personer,0
3116 Skiptvet,2 Kvinner,F00-04 0-4 år,2025,Personer,68
3116 Skiptvet,2 Kvinner,F05-09 5-9 år,2025,Personer,107
3116 Skiptvet,2 Kvinner,F10-14 10-14 år,2025,Personer,128
3116 Skiptvet,2 Kvinner,F15-19 15-19 år,2025,Personer,134
3116 Skiptvet,2 Kvinner,F20-24 20-24 år,2025,Personer,107
3116 Skiptvet,2 Kvinner,F25-29 25-29 år,2025,Personer,107
3116 Skiptvet,2 Kvinner,F30-34 30-34 år,2025,Personer,118
3116 Skiptvet,2 Kvinner,F35-39 35-39 år,2025,Personer,122
3116 Skiptvet,2 Kvinner,F40-44 40-44 år,2025,Personer,142
3116 Skiptvet,2 Kvinner,F45-49 45-49 år,2025,Personer,123
3116 Skiptvet,2 Kvinner,F50-54 50-54 år,2025,Personer,127
3116 Skiptvet,2 Kvinner,F55-59 55-59 år,2025,Personer,129
3116 Skiptvet,2 Kvinner,F60-64 60-64 år,2025,Personer,119
3116 Skiptvet,2 Kvinner,F65-69 65-69 år,2025,Personer,116
3116 Skiptvet,2 Kvinner,F70-74 70-74 år,2025,Personer,105
3116 Skiptvet,2 Kvinner,F75-79 75-79 år,2025,Personer,94
3116 Skiptvet,2 Kvinner,F80-84 80-84 år,2025,Personer,53
3116 Skiptvet,2 Kvinner,F85-89 85-89 år,2025,Personer,32
3116 Skiptvet,2 Kvinner,F90-94 90-94 år,2025,Personer,14
3116 Skiptvet,2 Kvinner,F95-99 95-99 år,2025,Personer,4
3116 Skiptvet,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,0
3116 Skiptvet,1 Menn,F00-04 0-4 år,2025,Personer,94
3116 Skiptvet,1 Menn,F05-09 5-9 år,2025,Personer,102
3116 Skiptvet,1 Menn,F10-14 10-14 år,2025,Personer,136
3116 Skiptvet,1 Menn,F15-19 15-19 år,2025,Personer,135
3116 Skiptvet,1 Menn,F20-24 20-24 år,2025,Personer,119
3116 Skiptvet,1 Menn,F25-29 25-29 år,2025,Personer,91
3116 Skiptvet,1 Menn,F30-34 30-34 år,2025,Personer,123
3116 Skiptvet,1 Menn,F35-39 35-39 år,2025,Personer,125
3116 Skiptvet,1 Menn,F40-44 40-44 år,2025,Personer,135
3116 Skiptvet,1 Menn,F45-49 45-49 år,2025,Personer,147
3116 Skiptvet,1 Menn,F50-54 50-54 år,2025,Personer,144
3116 Skiptvet,1 Menn,F55-59 55-59 år,2025,Personer,138
3116 Skiptvet,1 Menn,F60-64 60-64 år,2025,Personer,151
3116 Skiptvet,1 Menn,F65-69 65-69 år,2025,Personer,105
3116 Skiptvet,1 Menn,F70-74 70-74 år,2025,Personer,92
3116 Skiptvet,1 Menn,F75-79 75-79 år,2025,Personer,101
3116 Skiptvet,1 Menn,F80-84 80-84 år,2025,Personer,43
3116 Skiptvet,1 Menn,F85-89 85-89 år,2025,Personer,15
3116 Skiptvet,1 Menn,F90-94 90-94 år,2025,Personer,5
3116 Skiptvet,1 Menn,F95-99 95-99 år,2025,Personer,5
3116 Skiptvet,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,1
3118 Indre Østfold,2 Kvinner,F00-04 0-4 år,2025,Personer,1075
3118 Indre Østfold,2 Kvinner,F05-09 5-9 år,2025,Personer,1247
3118 Indre Østfold,2 Kvinner,F10-14 10-14 år,2025,Personer,1372
3118 Indre Østfold,2 Kvinner,F15-19 15-19 år,2025,Personer,1396
3118 Indre Østfold,2 Kvinner,F20-24 20-24 år,2025,Personer,1100
3118 Indre Østfold,2 Kvinner,F25-29 25-29 år,2025,Personer,1221
3118 Indre Østfold,2 Kvinner,F30-34 30-34 år,2025,Personer,1511
3118 Indre Østfold,2 Kvinner,F35-39 35-39 år,2025,Personer,1520
3118 Indre Østfold,2 Kvinner,F40-44 40-44 år,2025,Personer,1574
3118 Indre Østfold,2 Kvinner,F45-49 45-49 år,2025,Personer,1497
3118 Indre Østfold,2 Kvinner,F50-54 50-54 år,2025,Personer,1643
